"sol:0","sol:1","sol:2","anal2","error2","Points:0","Points:1","Points:2"
-2.7504,-5.5705,0,-2.0314,0.059924,4.8043,1.348,0.059924
2.5019,0.93012,0,1.6633,0.069886,1.5502,2.2868,0.069886
1.0682,-6.2587,0,0.8247,0.020289,3.9298,1.5958,0.020289
1.0439,6.2925,0,0.80825,0.019641,0.064215,1.5909,0.019641
1.6274,-1.0833,0,1.2086,0.034899,2.7821,2.615,0.034899
-2.4698,8.1752,0,-2.0375,0.036028,-0.44737,1.195,0.036028
-2.482,-8.2688,0,-2.0591,0.035236,4.4409,1.1867,0.035236
2.7553,-2.1934,0,1.8113,0.078663,2.8757,2.0678,0.078663
2.6274,-1.2092,0,1.7302,0.074763,2.5476,2.2167,0.074763
5.7751,-0.72593,0,3.9112,0.15532,2.1826,1.1597,0.15532
8.7822,-4.0413,0,7.3716,0.11755,2.8817,0.67274,0.11755
10.711,-3.5523,0,9.8561,0.071234,2.9375,0.42504,0.071234
9.3602,-5.8807,0,8.4865,0.072804,3.0904,0.69135,0.072804
10.16,-4.7297,0,9.2657,0.074542,3.0039,0.56075,0.074542
